monthly_rent,category_id,property_type,rooms,bathroom,size,furnished,facilities,additional_facilities,address,body,state,region,publishedDatetime,scrape_date,ads_id,latitude,longitude
"RM 1,500 per month","Apartment / Condominium, For rent",Apartment,3,2,900 sq.ft.,Partially Furnished,"Multipurpose hall, Club house, Parking, Security, Playground, Swimming Pool, Tennis Court, Lift, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine","Persiaran Aspirasi, Cyber 10, Cyberjaya, Selangor",Aspire Cyberjaya for rent<br><br>Contact owner - 0126597766 (Iskandar)<br><br>Rental - Rm1.5k<br>Deposit - Rm1.5k (one month only)<br>Utility Deposit - Rm300 only<br>Total depo: Rm3.3k only<br><br>- Size 900sqft<br>- Newly completed<br>- 2 car park (side by side)<br>- Kitchen cabinet<br>- Washing machine<br>- Dryer<br>- Fridge<br>- Microwave<br>- Club house<br>- Tennis court<br>- Swimming pool<br>- Surau<br>- Basketball court<br>- Multipurpose hall (Dewan Serbaguna)<br><br>Contact owner for viewing - 0126597766 (Iskandar),Selangor,Cyberjaya,2025-02-23 22:29,2025-02-24,109675033,2.8976803063045087,101.63940207012952
"RM 2,000 per month","Apartment / Condominium, For rent",Service Residence,1,1,500 sq.ft.,Fully Furnished,"Playground, Multipurpose hall, Parking, Security, Swimming Pool, Minimart, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Reko, Kampung Sungai Tangkas, Kajang, Selangor","Studio Vista Bangi Service Apartment, Kajang For Rent Rm 2000<br><br>-​1 bedroom + 1 bathroom<br>-500 sqft<br>-Fully Furnished <br>-Medium level<br>-1 carpark<br>-Facing Swimming Pool<br>-Avalaible March onwards<br>- Rental : RM 2,000<br><br>Nearby transportation: Ukm (KTM), Kajang (KTM), Kajang (MRT), Bangi (KTM)<br><br>For more info / viewing, Kindly Contact / Whatsapp:-<br>Ann Wai ,019-9559028<br>ONE MAKER Realty (REN34419)",Selangor,Kajang,2025-02-23 22:28,2025-02-24,110246558,2.952977200778606,101.78989675076667
RM 850 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Not Furnished,,Cooking Allowed,,"𝐑𝐔𝐌𝐀𝐇 𝐔𝐍𝐓𝐔𝐊 𝐃𝐈𝐒𝐄𝐖𝐀<br>Pangsapuri Teratai Bukit Subang, Denai Alam<br><br>Rental RM 850<br><br>Property details :<br>- Level 1<br>- 3 Bedroom + 1 Bathroom + 1 Toilet<br><br>Apartment Facilities <br>- Playground<br>- Shoplot nearby<br><br>AMENITIES :<br>- Elmina Central Park<br>- SK Bukit Subang & SMK Subang / Subang Bestari / Saujana Utama<br>- Airport Subang<br><br>ACCESSIBILITIES<br>-  DASH Highway<br>- Federal Highway<br>- Guthrie Highway<br>- Kota Damansara / Ara Damansara<br><br>Interested please whatsapp me:<br><br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416",Selangor,Bukit Subang,2025-02-23 22:27,2025-02-24,108704794,,
"RM 1,350 per month","House, For rent",2-storey Terraced House,3,1,1200 sq.ft.,Partially Furnished,"Parking, Playground, Security",Cooking Allowed,,"Townhouse Seri Kenanga in Saujana Perdana, Saujana Utama Elmina, Eco<br><br>Price : RM 1,350 per Month<br><br> DETAILS : <br>- Bilik Tidur 3<br>- Bilik Air 1<br>- Dining Table<br>- TV<br>- Single Bed set<br><br>AMENITIES : - <br>- MyMydin <br>- Bank Islam / BSN / Bank Rakyat <br>- Shell / Petronas<br> - Masjid<br> - UiTM Puncak Alam <br>- Sekolah Agama Saujana Utama <br>- Sekolah Kebangsaan Saujana Utama <br>- Sekolah Menengah Saujana Utama<br> - Sekolah Agama Paya Jaras (Jalan Elmina) <br>- Klinik 1 Malaysia <br>- KFC / Pizza Hut  <br><br>ACCESSIBILITIES : - <br>- Guthrie Highway<br> - LATAR Highway <br>- PLUS Highway <br>- NKVE Highway <br>- DASH Highway  <br><br>Please call me for further information and viewing<br><br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416",Selangor,Saujana Utama,2025-02-23 22:27,2025-02-24,109015440,,
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,1,1,565 sq.ft.,Partially Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed","Persiaran Metafasa, Shah Alam, Selangor","2 Bedroom for Rent in Habitus, Denai Alam, Elmina, Shah Alam<br><br>PROPERTY DETAILS : <br>- ⁠565 sqft<br>- 1 bathrooms , 2 bedroom<br>- ⁠1 reserve parking <br>- 24 Hours Security & Guarded Community With Smart Access. <br><br>PARTLY FURNISHED : <br>- Air Conditioner at Living room.<br>- Kitchen cabinet including kitchen hood and hob<br>- ⁠Kitchen with build-in cabinet<br>- ⁠Lighting & Fans<br>- ⁠others <br><br>FACILITIES : <br>- Playground<br>- Gym<br>- Infinity Pool<br>- ⁠⁠Swimming pool ( 8th floor <br>- Multi Purpose Hall<br>- BBQ Area<br>- Reading Room<br>- Pool Deck<br>- ⁠Surau<br>- ⁠Dewan<br><br>AMENITIES :<br>- MCD , Caltex , Restaurant, Mamak, Family Mart & etc.. <br>- ⁠+ 2min to commercial area ( KEDAI MAKAN, MASJID, JnT POST, 99 SPEEDMART, FAMILY MART, JAYA GROCER , ETC..)<br>- Denai Alam Commercial Centre - 800mtr<br>- Elmina Temu Commercial Centre - 5km<br>- Subang Airport -12km<br>- Stadium Shah Alam -13km<br>- Elmina Park - cycling & jogging - 3km<br><br>Connectivity : <br>- Jalan Subang - Shah Alam<br>- Guthrie Corridor Expressway<br>- DASH<br>- NKVE<br>- Elite<br>- LATAR<br><br>Rental Fee RM1,400<br><br>--------------------------------------------<br><br>For more info and viewing session kindly contact:<br><br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416<br>Fuad Nasir 0134040416",Selangor,Shah Alam,2025-02-23 22:27,2025-02-24,110002028,3.1662185139436074,101.51393631050794
"RM 2,200 per month","House, For rent",2-storey Terraced House,4,3,1743 sq.ft.,Fully Furnished,"Parking, Security","Cooking Allowed, Air-Cond",,"2 Storey Graham Garden Eco Grandreur, Puncak Alam for Rent<br><br>DETAILS:<br>- Built Up 1743 sqft<br>- Land area 20' x 65'<br>- 4 Bedroom<br>- 3 Bathrooms<br>- Fully Furnished<br><br>Rental : RM2,200 <br><br>Facilities and Amenities:<br>- Segi Fresh Mart<br>- Nearby KFC, Domino Pizza, Secret Recepi, McD, Petrol Station, Clinic, Playground<br>- Hospital & UiTM Puncak Alam<br>- UOB & Bank Muamalat<br><br>Accessibility:<br>- Jalan Meru Tambahan <br>- Persiaran Mokhtar Dahari <br>- Jalan Sg.Buloh-Kuala Selangor <br>- KL- Kuala S'gor<br><br>Interested please contact or whatsapp<br><br>Fuad Nasir 01304040416<br>Fuad Nasir 01304040416<br>Fuad Nasir 01304040416",Selangor,Puncak Alam,2025-02-23 22:27,2025-02-24,110063402,,
RM 400 per month,"Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Partially Furnished,"Parking, Playground, Minimart",Cooking Allowed,,"Sewa/Rent<br><br>Baiduri Apartment,Beranang,Tasik Kesuma Semenyih<br><br>Prefer all tenant muslim<br><br>Level 4<br>Tiada lift<br><br>DETAILS:<br>Size: 700sqft<br>Bedrooms: 3<br>Bathrooms: 2<br>1 carparks open 1st come 1st serve<br>Bisic unit sink<br>Fully grill<br>Fridge<br>Tile mozek lantai<br><br>Facilities:<br>- Kids Playground<br>- Minimarket<br><br>Amenities nearby:<br>- Near kolej Profesional Mara<br>- Tesco Extra Semenyih<br>- Aeon Eco Majestic (Under construction)<br>- Eco Hill Walk Shopping Mall<br>- Starbucks, McDonald's & Jaya Grocery<br>- Nottingham University<br>- Tenby International School at Setia EcoHill<br>- SMK Bandar Tasik Kesuma, SK Sin Ming, SMK ENGKU hussain<br>- Kesuma Industrial Park<br>Tesco, McD, Pizza Hut, KFC, Secret Recipe, Old town White Coffee, Klinik,<br>Masjid/Surau, Kedai Runcit, 7 Eleven,KK<br><br>Access:<br>- Jalan Semenyih<br>- Lekas Highway<br>- 10 mins to Bangi<br>- 15 mins to Kajang<br>- 20 mins to Cheras, Putrajaya, Seremban<br>- 30 mins to KL<br>- 35 mins to KLIA<br><br>1.5 km (3 minit) ke Kolej Profesional Mara / Mara Japan Industrial Institute<br>10 minit ke Nottingham University<br>15 minit ke KTM Batang Benar<br>19 km (30 minit) ke Nilai 3<br>33 km (40 minit) ke Putrajaya<br>30-60 minit ke Nilai 3, KLIA,LCCT, UPM , UKM, Nilai College<br><br><br><br>For more information and viewing, please contact:<br><br>Please do not Hesitate to contact me for viewing & enquiry<br><br>Call@WASSAP<br>SKY 0106652579",Selangor,Semenyih,2025-02-23 22:25,2025-02-24,108478520,,
"RM 2,600 per month","Apartment / Condominium, For rent",Service Residence,3,2,760 sq.ft.,Fully Furnished,"Barbeque area, Swimming Pool, Parking, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine","Jalan Atmosphere Utama 2, Off Jalan Putra Permai, Seri Kembangan, Selangor","Meta City Fully Furnished Taman Equine For Rent RM 2600<br><br>- 3 Bedrooms + 2 Bathrooms<br>- ⁠760 sqft<br>- ⁠2 Car Park<br>- ⁠Brand New Unit<br>- ⁠Fully Furnished<br>- ⁠4 Unit Aircon + 2 Heater<br>- ⁠Fully Grilled<br>- Rental : RM 2,600<br><br>Jalan Atmosphere Utama 2 Off Jalan Putra Permai 43300 Seri Kembangan<br><br>Nearby transportation: Taman Putra Permai (MRT), Equine Park (MRT), 16 Sierra (MRT), Cyberjaya North (MRT), Cyberjaya City Centre (MRT)<br><br>For more info / viewing, Kindly Contact / Whatsapp:-<br>Ann Wai 019-955 9028<br>ONE MAKER Realty (REN34419)",Selangor,Seri Kembangan,2025-02-23 22:25,2025-02-24,110246468,,
RM 800 per month,"Apartment / Condominium, For rent",Condominium,2,1,600 sq.ft.,Not Furnished,"Swimming Pool, Multipurpose hall, Security, Parking, Playground, Barbeque area, Gymnasium, Lift, Sauna, Club house, Jogging Track, Tennis Court, Minimart, Squash Court",,"Warisan Puteri, Persiaran Warisan, Sepang, Selangor",For further information can whatsapp O162OO7968,Selangor,Sepang,2025-02-23 22:24,2025-02-24,109809613,2.8261424,101.7043539
"RM 3,200 per month","Apartment / Condominium, For rent",Service Residence,3,1,588 sq.ft.,Fully Furnished,"Swimming Pool, Security, Barbeque area, Gymnasium, Lift, Parking, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet, Washing Machine","Jalan PJS 8/9, Bandar Sunway, Selangor","✨SUNWAY YOLO SIGNATURE SUITE For Rent<br>- 3 rooms<br>- Balcony<br>✅ Fully furnished<br>✅ Air-conditioner<br>✅ Washer & Dryer<br>✅ Kitchen area<br>✅ Water dispenser<br>✅ Allowed to Cook<br>✅ Shower water heater<br>✅ Include Cleaning<br>✅✅ FREE ZUS COFFEE EVERY MONTH<br><br>AVAILABLE NOW<br><br>RM3,300 PER MONTH<br><br><br><br>双威高级住宿<br>-三房一浴<br>-有阳台<br>-全家俬<br>-包清洁<br>租金l: RM3,300<br><br>************** 012.262.3218 **************<br>************** 012.262.3218 **************<br>************** 012.262.3218 **************<br><br>==============================================<br>Please: Call/SMS/WhatsApp/Wechat/Email for more information. Thank you!<br><br>Cyril Ng<br>Contact : 012.262.3218<br>Email : cyril.properties@gmail.com<br>PEA 3089<br><br><br><br><br>#sunwayroomforrent #roomforrent #sunwayroom #bandarsunwayroom #rentalroom #monash #sunwayuniversity #taylorsuniversity #monashhostel #sunwayunihostel #taylorshostel #taylorsuni #monashuni #monashstudent #taylorsstudent #sunwaystudent #bandarsunway #sunwaymedical #studenthostel #sunwayaccomodation #tayloraccomodation #monashaccomodation",Selangor,Bandar Sunway,2025-02-23 22:24,2025-02-24,109602781,3.0806533610719424,101.61030144505956
RM 650 per month,"Apartment / Condominium, For rent",Apartment,3,2,750 sq.ft.,Not Furnished,"Playground, Parking, Security, Lift, Minimart, Barbeque area, Multipurpose hall, Jogging Track",,"Jalan Eco Majestic 3A/5, Semenyih, Selangor","Simfoni Apartment, Eco Majestic, Semenyih<br><br>Level 5<br><br>DETAILS:<br>Size: 750sqft<br>Bedrooms: 3<br>Bathrooms: 2<br>1 carparks<br>Basic unic sink<br>fully grill<br>lampu dan kipas<br><br><br>Facilities:<br>- Kids Playground<br>- Badminton Court<br>- 24 hours Security (CCTV Monitoring)<br>- BBQ Pit<br>-Surau<br><br>Amenities nearby:<br>- Tesco Extra Semenyih<br>- Aeon Eco Majestic (Under construction)<br>- Eco Hill Walk Shopping Mall<br>- Starbucks, McDonald's & Jaya Grocery<br>- Nottingham University<br>- Tenby International School at Setia EcoHill<br>- SMK Bandar Tasik Kesuma, SK Sin Ming, SMK ENGKU hussain<br>- Kesuma Industrial Park<br><br>Access:<br>- Jalan Semenyih<br>- Lekas Highway<br>- 10 mins to Bangi<br>- 15 mins to Kajang<br>- 20 mins to Cheras, Putrajaya, Seremban<br>- 30 mins to KL<br>- 35 mins to KLIA<br><br>For more information and viewing, please contact:<br><br>Please do not Hesitate to contact me for viewing & enquiry<br><br>Call@WASSAP<br>SKY 0106652579",Selangor,Semenyih,2025-02-23 22:24,2025-02-24,109465338,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,800 sq.ft.,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track, Swimming Pool, Barbeque area",Cooking Allowed,"Jalan Ecohill 1/2, Setia Ecohill, Semenyih, Selangor","RENT/SEWA<br><br>Apartment D'kristal di Ecohill Semenyih<br><br>Available Febuari<br><br>PROPERTY DETAILS:<br>=================<br>* Built-up : 800sq feet<br>* 3 bedrooms & 2 bathrooms<br>* FREEHOLD<br>* Non-Bumi Lot<br>* Installed withLighting<br>*1 car parks<br>*24 hours Security<br>Partial furnished<br>Tv rack cabinet<br>Kicthen cabinet table top built in hoods(stove)<br>Vinly flooring tile<br>Rack storage at yard<br>Rack shoes<br>Grill main door,window&yard<br>Ada kipas dan lampu<br>Fan ventalation dapur&sliding window<br>FACILITIES:<br>=========<br>* 24-hours Security with CCTV<br>* Smart card access<br>* Surau<br><br>Amenities :<br>=======<br>- Schools / Nottingham University<br>- MCD / KFC / Starbuck<br>- Petrol stations & Bank<br>- Setia Ecohill Express Link to LEKAS Highway<br>- Lotus (Tesco), Econsave, Segi, 99 Speed Mart, 7-Eleven, etc.<br>- ECOHILL Taipan (Shoplots)<br>- Setia EcoHill Walk (Shopping Mall)<br><br>Please contact call/wassap:<br>SKY 0106652579",Selangor,Semenyih,2025-02-23 22:23,2025-02-24,110094935,2.922950469162594,101.85062415220165
"RM 1,400 per month","Apartment / Condominium, For rent",Service Residence,3,2,951 sq.ft.,Partially Furnished,"Barbeque area, Multipurpose hall, Parking, Swimming Pool, Jogging Track, Lift, Security, Sauna, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT","Jalan Simfoni 2, Off Lebuhraya SILK, Balakong, Selangor","Symphony Tower Unit For Rent(Menara Simfoni),Condo Balakong Disewa<br><br>​- 3 bedroom + 2 bathroom<br>- 951 sqft<br>- Partly Furnished : -Kitchen cabinet, air-cond, fan, -water-heater<br>- Medium level + -Corner unit<br>- 2 carpark<br>- Avalaible March onwards<br>- Rental : RM 1,400<br><br>Nearby transportation: Bukit Dukung (MRT), Batu Sebelas Cheras (MRT), Bandar Tun Hussein Onn (MRT), Serdang (KTM), Sungai Jernih (MRT)<br><br>For more info / viewing, Kindly Contact / Whatsapp:-<br>Ann Wai ,019-9559028<br>ONE MAKER Realty (REN34419)",Selangor,Balakong,2025-02-23 22:22,2025-02-24,110246522,,
"RM 1,050 per month","Apartment / Condominium, For rent",Apartment,3,2,840 sq.ft.,Partially Furnished,"Parking, Security, Playground, Swimming Pool","Cooking Allowed, Air-Cond","Persiaran Indera, Bandar Puteri, Puchong, Selangor","Level 1 no lift<br><br>With 1 aircond<br>2 water heaters<br>Dining table<br>Coffee table<br>Single bed<br>Wardrobe<br>Kitchen cabinet<br>Stove<br>Hood<br>Grills<br>Fans<br>Lights<br><br><br>ACCESSIBILITY:-<br>- Lebuhraya Damansara-Puchong (LDP)<br>- Shah Alam Expressway (KESAS)<br>- Bukit Jalil Highway (BJH)<br>- South Klang Valley Expressway (SKVE)<br>- North-South Central Link Expressway (ELITE)<br>- Jalan Puchong<br><br>AMENITIES NEARBY:-<br>- Aeon Big, TESCO, Giant, Aeon Jusco<br>- IOI Mall, IOI Boulevard, Setia Walk, Sunway Pyramid, Empire Shopping Gallery, Subang Parade<br>- International schools, primary & secondary schools, Chinese & Tamil schools, colleges, universities<br>- Hospitals, clinics, banks, retail shops, cafes, restaurants<br>- Immigration & National Registration branch offices<br><br>mr wong 0192184680",Selangor,Puchong,2025-02-23 22:22,2025-02-24,109734649,,
RM 900 per month,"Apartment / Condominium, For rent",Apartment,3,2,654 sq.ft.,Not Furnished,"Playground, Minimart, Lift",Cooking Allowed,"Jalan SS 9A/14, Petaling Jaya, Selangor","With new painted<br>reno floor tiles<br>Grills<br>Fans<br>Lights<br><br>FACILITIES<br>* Playground<br>* ShopLot (Restaurant, Dobi, Convenient Shop)<br><br>ACCESSIBILITY<br>* LDP<br>* NPE<br>* FEDERAL<br><br>mr wong 0192184680",Selangor,Petaling Jaya,2025-02-23 22:22,2025-02-24,110050560,3.086928675262303,101.62282695843773
"RM 1,250 per month","Apartment / Condominium, For rent",Condominium,4,2,1240 sq.ft.,Partially Furnished,"Swimming Pool, Gymnasium, Playground, Parking, Security, Lift, Minimart, Multipurpose hall, Tennis Court","Cooking Allowed, Air-Cond, Washing Machine","Jalan Bersatu, Taman Bukit Serdang, Seri Kembangan, Selangor",Available end feb or 1 march onwards<br><br>3+1 bedroom<br><br>with 2 airconds<br>2 water heaters<br>dining table set<br>king bed<br>tv cabinet<br>3 wardrobe<br>washing machine<br>kitchen cabinet<br>stove<br>hood<br>tong gas<br>grills<br>fans<br>lights<br><br>FACILITIES<br>• Swimming Pool<br>• Gymnasium<br>• Mini Mart<br>• Game Room<br>• Badminton Hall<br>• Playground<br>• 24 Hours Security<br><br>AMENITIES<br>• 99 Speedmart 850m<br>• SMK Seri Kembangan 1.5km<br>• SJKC Serdang (1) 1.5km<br>• MRT 2.8km<br>• South City Plaza 3.4km<br>• Econsave 3.8km<br>• The Mines 4.6km<br>• KTM Komuter 4.7km<br>• Universiti Putra Malaysia UPM 5.5km<br>• AEON Mall 6.4km<br>• Giant 8.2km<br>• Pavilion 8.6km<br>• Hospital 10km<br><br>mr wong 0192184680,Selangor,Seri Kembangan,2025-02-23 22:22,2025-02-24,109964720,3.0225910413679675,101.6925326546273
RM 750 per month,"Apartment / Condominium, For rent",Apartment,3,2,720 sq.ft.,Not Furnished,Playground,Cooking Allowed,"Persiaran Warisan, Koa Warisan, Sepang, Selangor","available end feb onwards<br><br>level 3 no lift<br><br>with new painted<br>grills<br>fans<br>lights<br><br>AMMENITIES:<br>- Walking distance to KIP Mart / McD<br>- Mitsui Outlet<br>- Econsave<br>- Xiamen University Malaysia<br>- SK Kota Warisan<br>- Commercial Area<br>- Petrol Station, Bank, Surau<br>- ERL Salak Tinggi<br><br>ACCESSIBILITY:<br>- Highway: PLUS, KESAS, MEX<br>- 15 min to KLIA<br>- 17 min to Cyberjaya<br><br>mr wong 0192184680",Selangor,Sepang,2025-02-23 22:22,2025-02-24,110056628,,
"RM 1,490 per month","Apartment / Condominium, For rent",Service Residence,3,2,983 sq.ft.,Not Furnished,"Swimming Pool, Parking, Barbeque area, Lift, Security, Playground, Gymnasium, Multipurpose hall, Minimart, Club house, Jogging Track",Cooking Allowed,"Off Jalan Kuching, Taman Prima Selayang, Selayang, Selangor","168 PARK SELAYANG✅<br>👉🏻Unit Diatas 168 Park Mall, Shopping Mall Terbaru Dan Terbesar Di Selayang<br><br>👉🏻Terdapat 27 Facilities 🚴🏻‍♂️🤾🏻‍♂️⛹🏻‍♂️🏋🏻‍♂️🤸🏻‍♂️termasuk Swimming pool, Gym, Outdoor cinema dan banyak lagi✨✨<br><br>👉🏻Kipas dan Lampu akan dipasang sebelum penyewa baru move in.<br><br>✅3 Bilik 2 Bath 2 Parking🚗🚙<br>✅Kemasukan segera - March 2025<br><br>👉🏻10 minit- Selayang Hospital<br>👉🏻10 minit- Selayang Capitol<br>👉🏻12 minit- Selayang Hotspring<br>👉🏻13 minit-UiTM Medical Faculty Selayang<br>👉🏻17 minit-SMK Ideal Height<br>👉🏻8 minit- S.K Bandar Baru Selayang<br>👉🏻19 minit- SJK(C) Selayang Baru<br>👉🏻12 minit- KLCC<br>👉🏻13 minit- Batu Caves<br>👉🏻11 minit- FRIM Kepong<br><br>Accessibility: <br><br>✅Jalan Kuching<br><br>✅Jalan Ipoh<br><br>✅LATAR Highway<br><br>Berminat ? Jom view rumah dengan Kenny<br>📲017-315 9635<br>📲017-315 9635<br>📲017-315 9635",Selangor,Selayang,2025-02-23 22:20,2025-02-24,110225798,,
RM 800 per month,"Apartment / Condominium, For rent",Apartment,3,2,760 sq.ft.,Not Furnished,Minimart,Cooking Allowed,"Jalan 15/1b, Seksyen 15, Bandar Baru Bangi, Bangi, Selangor",Rumah Sewa Bandar Baru Bangi Perkasa Seksyen 15 NOISH UKM KPTM<br>.<br>Tingkat 3<br>3 Bilik<br>2 Bilik air<br>800 Sqft<br>.<br>Sewa RM 800<br>Deposit 2 Bulan<br>Deposit api dan air<br>Agreement<br>.<br>Berhampiran<br>- Bangi Gateway<br>- NIOSH<br>- UKM Bangi<br>- SONY<br>- DENSO<br>.<br>Whatsapp<br>.<br>Syamin - 014.966.1850<br>.<br>www.wasap.my/60149661850<br>.<br>www.syaminsaad.blogspot.my<br>.<br>www.mybiliksewa.blogspot.my<br>.<br>Kepada owner rumah yang ada Hartanah yang nak di<br>JUAL / SEWA / URUS<br>boleh whatsapp saya untuk info lanjut<br>.,Selangor,Bangi,2025-02-23 22:16,2025-02-24,109883195,2.93420465,101.76763545
RM 450 per month,"Apartment / Condominium, For rent",Apartment,3,2,700 sq.ft.,Partially Furnished,"Parking, Playground",Cooking Allowed,"Off Jalan Semenyih, Bandar Tasik Kesuma, Beranang, Selangor",.<br>Baiduri Bandar Tasik Kesuma Beranang Semenyih Eco Majestic<br>.<br>Open Parking kereta<br>.<br>Details :<br>- Belakang Kolej Polytech MARA Beranang Selangor<br>- Built Up: 700 sqft<br>- 3 Bedroom<br>- 2 Bathroom<br>.<br>Facilities :<br>- Kindergarten<br>- Surau<br>- Kedai Runcit<br>- Kedai Mamak<br>- Restoran<br>- Playground<br>- Laundry<br>- 24hrs Shops<br>.<br>Amenities nearby (5-15min) :<br>- TESCO<br>- KOLEJ PROFESIONAL MARA & MJII<br>- Schools<br>- Mosque<br>- Restaurant<br>- Shops<br>.<br>Sewa RM 450<br>Deposit 2 Bulan<br>Deposit api dan air<br>Agreement<br>.<br>Whatsapp<br>.<br>Syamin - 0149661850<br>.<br>www.wasap.my/60149661850<br>.<br>www.syaminsaad.blogspot.my<br>.<br>www.mybiliksewa.blogspot.my<br>.<br>Kepada owner rumah yang ada Hartanah yang nak di<br>JUAL  SEWA  SUBLET<br>boleh whatsapp saya untuk info lanjut<br>.,Selangor,Beranang,2025-02-23 22:16,2025-02-24,109883213,,
RM 500 per month,"Apartment / Condominium, For rent",Flat,3,2,700 sq.ft.,Not Furnished,Playground,Cooking Allowed,"Bandar Sunway Semenyih, Semenyih, Selangor",.<br>Baiduri Bandar Tasik Kesuma Beranang Semenyih Eco Majestic<br>.<br>bole wasap untuk gambar dalam rumah<br>.<br>Open Parking kereta<br>.<br>Details :<br>- Belakang Kolej Polytech MARA Beranang Selangor<br>- Built Up: 700 sqft<br>- 3 Bedroom<br>- 2 Bathroom<br>.<br>Sewa RM 500<br>Deposit 2 Bulan<br>Deposit api dan air<br>Agreement<br>.<br>Whatsapp<br>.<br>Syamin - 0149661850<br>.<br>www.wasap.my/60149661850<br>.<br>www.syaminsaad.blogspot.my<br>.<br>www.mybiliksewa.blogspot.my<br>.<br>Kepada owner rumah yang ada Hartanah yang nak di<br>JUAL  SEWA  SUBLET<br>boleh whatsapp saya untuk info lanjut<br>.,Selangor,Semenyih,2025-02-23 22:15,2025-02-24,109169689,2.9699571,101.8418482
RM 800 per month,"Apartment / Condominium, For rent",Flat,3,2,650 sq.ft.,Partially Furnished,"Playground, Parking",Cooking Allowed,"Jalan 6C/11, Bandar Baru Bangi, Bangi, Selangor",".<br>Rumah Sewa Seri Cempaka Tingkat 1 Seksyen 16 Bandar baru bangi<br>.<br>Kajang @ bandar Baru Bangi<br>.<br>Alamat di Jalan 6b/2,<br>Seksyen 16 Bandar Baru Bangi,<br>43650 Bandar Baru Bangi, Selangor<br>.<br>Tingkat 1<br>1 katil dan tilam queen<br>1 katil dan tilam single<br>2 unit almari<br>1 unit kabinet<br>1 kabinet tv<br>2 kipas siling.<br>Semua bilik dan ruang ada lampu<br>Semua bilik dan ruang ada soket kuasa.<br>1 unit meja makan boleh lipat.<br>1 unit rak kasut.<br>1 unit rak pinggan<br>.<br>Close to public amenities<br>.<br>KTM and MRT kajang<br>UKM<br>Econsave<br>Reko Sentral<br>Dekat dengan surau,<br>pasar malam,<br>.<br>650  Sqft<br>3 bilik<br>2 bilik air<br>.<br>Sewa RM 800<br>Deposit 2 Bulan<br>Deposit api dan air<br>Agreement<br>.<br>Whatsapp<br>.<br>Syamin - 0149661850<br>.<br>www.wasap.my/60149661850<br>.<br>www.syaminsaad.blogspot.my<br>.<br>www.mybiliksewa.blogspot.my<br>.<br>Kepada owner rumah yang ada Hartanah yang nak di<br>JUAL / SEWA / SUBLET<br>boleh whatsapp saya untuk info lanjut<br>.",Selangor,Bangi,2025-02-23 22:15,2025-02-24,110135712,2.957418625843614,101.78035023013555
RM 700 per month,"Apartment / Condominium, For rent",Apartment,3,2,650 sq.ft.,Partially Furnished,"Playground, Minimart",Cooking Allowed,"Jalan KP 1/6, Off Persiaran Lestari Perdana, Kota Perdana, Seri Kembangan, Selangor","level 1 no lift<br><br>with wardrobe<br>make up table<br>grills<br>fans<br>lights<br><br>Current operation Banks in Equine Boulevard<br>* Maybank<br>* Public Bank<br>* Cimb<br>* Hong Leong Bank .. more to come.<br><br>Amenities :<br>* AEON Shopping Mall<br>* Giant<br>* Pasar Borong Selangor<br>* Alice Smith International School<br>* Government school @ Desaminium<br>* Putrajaya Terminal (Putrajaya KLIA Transit Station)<br>* Commercial centre (Permai Square/Putra Walk)<br>* Clinics, Restaurants, Cafe, Car workshop<br><br>Nearby housing residential :<br>* Villa Avenue<br>* D Alpinia<br>* Alam Sanctuary<br>* Lestari Mansion<br>* 16 Sierra by IOI<br>* Prima Tropika<br>* Sovereign<br>* Taman Putra Permai<br>* Taman Pinggiran Putra...ETC...<br><br>Accessibility:<br>* MEX Highway<br>* LDP express way<br>* S.K.V.E express way<br>* Putrajaya-Cyberjaya express way<br>* KLIA express way<br>* Bukit Jalil Highway<br><br>mr wong 0192184680",Selangor,Seri Kembangan,2025-02-23 22:10,2025-02-24,110246394,,
